"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"70","excluded","‘‘Engaging in sufficient exercise is something that fits the way I want to live’’ ","NA","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012/07//","howIWantToLive"
"106","excluded"," “Quitting smoking within the next 3 months fits with how I want to live” ","NA","van den Putte, Bas and Yzer, Marco and Willemsen, Marc C. and de Bruijn, Gert-Jan","The effects of smoking self-identity and quitting self-identity on attempts to quit smoking.","2009/09//","howIWantToLive"
"108","excluded"," “Smoking fits with how I want to live”","NA","van den Putte, Bas and Yzer, Marco and Willemsen, Marc C. and de Bruijn, Gert-Jan","The effects of smoking self-identity and quitting self-identity on attempts to quit smoking.","2009/09//","howIWantToLive"
"280","excluded","[Engaging in physical exercise is something that] fits the way I want to live ","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","howIWantToLive"
"88","excluded"," As a student enrolled in PYB110, I think it is important for me to . . . [attending peer-assisted study sessions for <U+FB01>rst-year statistics] ","NA","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011/06//","important"
"123","excluded"," “As a student enrolled in bachelor of social science (psychology), I think it is important for me to attend every peer-assisted study session for 1st-year statistics this semester.”","NA","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008/08//","important"
"165","excluded","“For you personally, how important is blood donation?‘ ","NA","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001/07//","important"
"268","excluded"," I think it is important to buy organic products in order to protect the environment. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","important"
"269","excluded"," I think it is important to buy organic products in order to protect myself and loved ones. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","important"
"24","excluded","Donation is important to me ","NA","Bagot, Kathleen L. and Masser, Barbara M. and White, Katherine M.","Using an extended theory of planned behavior to predict a change in the type of blood product donated.","2015/08//","importantToMe"
"262","excluded"," It is important to me that my personal care products are branded with an eco-label such as the Flower, the Nordic Swan or Eco-Cert. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","importantToMe"
"263","excluded"," It is not important to me that my personal care products are branded with an eco-label such as the Flower, the Nordic Swan or Eco-Cert. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","importantToMe"
"311","excluded"," “Blood donation is important to me,” ","masser2009predicting","Masser, Barbara M and White, Katherine M and Hyde, Melissa K and Terry, Deborah J and Robinson, Natalie G","Predicting blood donation intentions and behavior among Australian blood donors: testing an extended theory of planned behavior model","2009","importantToMe"
"313","excluded","“Blood donation is important to me” (not at all to a great deal) ","mcmahon2008predicting","McMahon, Roz and Byrne, Molly","Predicting donation among an Irish sample of donors and nondonors: extending the theory of planned behavior","2008","importantToMe"
"320","excluded","Blood donation is important to me,” ","masser2012predicting","Masser, Barbara M and Bednall, Timothy C and White, Katherine M and Terry, Deborah","Predicting the retention of first-time donors using an extended Theory of Planned Behavior","2012","importantToMe"
"32","excluded","My consumption is identical with my lifestyle. ","NA","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014/05//","lifestyle"
"28","excluded","I will study hard for the ethics courses ","NA","Cheng, Pi-Yueh and Chu, Mei-Chin","Behavioral factors affecting students’ intentions to enroll in business ethics courses: A comparison of the theory of planned behavior and social cognitive theory using self-identity as a moderator.","2014/09//","miscellaneous"
"155","excluded","“To what extent does trying to get more information about a medication for an advertised antiarthritic prescription medicine from each of the following sources during the next six weeks affect you” (“1 = does not affect” and “7 = does affect”) ","NA","Liu, Yifei and Doucette, William R. and Farris, Karen B. and Nayakankuppam, Dhananjay","Drug information-seeking intention and behavior after exposure to direct-to-consumer advertisement of prescription drugs.","2005/06//","miscellaneous"
"156","excluded"," “Quite frankly, I don't care about trying to get more information about a medication for an advertised antiarthritic prescription medicine from each of the following sources during the next six weeks” (“1 = strongly disagree” and “7 = strongly agree”)","NA","Liu, Yifei and Doucette, William R. and Farris, Karen B. and Nayakankuppam, Dhananjay","Drug information-seeking intention and behavior after exposure to direct-to-consumer advertisement of prescription drugs.","2005/06//","miscellaneous"
"167","excluded"," “To what extent does blood donation affect you personally?” ","NA","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001/07//","miscellaneous"
"169","excluded"," “Quite frankly, I don’t care about blood donation” ","NA","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001/07//","miscellaneous"
"185","excluded"," “Drinking alcohol is a normal part of everyday life.” ","NA","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999/08//","miscellaneous"
"226","excluded"," I really do not have any clear feelings about blood donation (reversed). ","NA","Charng, Hong-wen and Piliavin, Jane A. and Callero, Peter L.","Role identity and reasoned action in the prediction of repeated behavior.","1988/12//","miscellaneous"
"234","excluded"," “I have numerous goals related to healthy eating”","brouwer2015expanding","Brouwer, Amanda M and Mosack, Katie E","Expanding the theory of planned behavior to predict healthy eating behaviors: Exploring a healthy eater identity","2015","miscellaneous"
"239","excluded"," I really do not have any clear feelings about dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","miscellaneous"
"265","excluded"," Unless each of us recognizes the need to protect the environment, future generations will suffer the consequences. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","miscellaneous"
"270","excluded"," The environment is one of the most important issues facing society today.","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","miscellaneous"
"277","excluded"," “I involve in GFB actions”","wang2016psychological","Wang, Yao-Fen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","miscellaneous"
"308","excluded"," “I have numerous goals related to healthy eating/ eating fruit/ eating vegetables” ","jenkins2015motivating","JENKINS, Amy","Motivating Fruit and Vegetable Consumption Using Self-Identity","2015","miscellaneous"
"314","excluded"," “The issue of blood donation is...”(not relevant to me torelevant to me) ","mcmahon2008predicting","McMahon, Roz and Byrne, Molly","Predicting donation among an Irish sample of donors and nondonors: extending the theory of planned behavior","2008","miscellaneous"
"319","excluded"," Green products are a part of my lifestyle.","ham2015predicting","Ham, Marija and {\v{S}}timac, Helena and Pap, Ana and Oec, Mag","Predicting the intention to purchase green food in Croatia--the influence of percieved self-identity","2015","miscellaneous"
"341","excluded"," It is part of my life to seek microcredits ","jebarajakirthy2014war","Jebarajakirthy, Charles and Lobo, Antonio C","War affected youth as consumers of microcredit: an application and extension of the theory of planned behaviour","2014","miscellaneous"
"116","excluded"," ‘I wouldn’t like other people to see me as the sort of woman who would breastfeed’ ","NA","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008/10//","perceivedProjectedImage"
"117","excluded"," ‘I wouldn’t like other people to see me as the sort of woman who would bottle feed’","NA","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008/10//","perceivedProjectedImage"
"274","excluded"," ‘Others might see me as a couch potato’","jackson2003applying","Jackson, Cath and Smith, Andrew and Conner, Mark","Applying an extended version of the theory of planned behaviour to physical activity","2003","perceivedProjectedImage"
"44","excluded"," “I separate my waste because I want to feel that I personally contribute to reducing air pollution”","NA","Barata, Raquel and Castro, Paula","'I feel recycling matters… sometimes': The negative influence of ambivalence on waste separation among teenagers.","2013/09//","personal"
"170","excluded"," “The issues of blood donation is . . . (not personally relevant-personally relevant)"" ","NA","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001/07//","personal"
"267","excluded"," Personally, I cannot help to slow down environmental deterioration. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","personal"
"87","excluded"," For me, . . . [attending peer-assisted study sessions for <U+FB01>rst-year statistics] will not assist in fulfilling my role as a student enrolled in PYB110 ","NA","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011/06//","role"
"89","excluded"," To what extent do you think that . . .[attending peer-assisted study sessions for <U+FB01>rst-year statistics] is a significant part of your role as a student enrolled in PYB110?","NA","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011/06//","role"
"90","excluded","“I would be the person primarily responsible for initiating a discussion of DBS surgery with this patient,”","NA","Langteau, Rita Ann","Neurologists' discussion intentions regarding a medical innovation: An examination of psychological determinants and personal normative influences.","2011///","role"
"119","excluded","To what extent do you think that attending every peer-assisted study session for 1st-year statistics this semester is a significant part of your role as a student enrolled in bachelor of social science (psychology)? ","NA","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008/08//","role"
"122","excluded"," “For me, attending every peer-assisted study session for 1st-year statistics this semester will not assist in fulfilling my role as a student enrolled in bachelor of social science (psychology)” ","NA","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008/08//","role"
"293","excluded"," general role identity as: ","white2017identity","White, Katherine M and Poulsen, Brooke E and Hyde, Melissa K","Identity and personality influences on donating money, time, and blood","2017","roleIdentity"
"264","excluded"," A substantial amount of money should be devoted to environmental protection. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","should"
"266","excluded"," Green issues should not be a main consideration when deciding what we do in the future. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","should"
"33","excluded"," My consumption is identical with my values. ","NA","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014/05//","values"
"132","excluded","“I use MMS to express my personal values.” ","NA","Thorbjørnsen, Helge and Pedersen, Per E. and Nysveen, Herbjørn","'This is who I am': Identity expressiveness and the theory of planned behavior.","2007/09//","express"
"133","excluded"," “I use MMS to express who I want to be.” ","NA","Thorbjørnsen, Helge and Pedersen, Per E. and Nysveen, Herbjørn","'This is who I am': Identity expressiveness and the theory of planned behavior.","2007/09//","express"
"134","excluded"," “Using mobileservices like MMS is part of how I express my personality.”","NA","Thorbjørnsen, Helge and Pedersen, Per E. and Nysveen, Herbjørn","'This is who I am': Identity expressiveness and the theory of planned behavior.","2007/09//","express"
"151","excluded"," ""Participation in physical activities is a way I express myself.""","NA","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: An application of the theory of planned behavior.","2005/12//","express"
"21","excluded","“The idea of participating in the [target behavior] to commercialize my research…”; Item 1: “…does not fit my self-concept” ","NA","Obschonka, Martin and Silbereisen, Rainer K. and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: Predictors and effects within the theory of planned behavior framework.","2015/12//","self"
"282","excluded"," [Engaging in physical exercise is something that] is how I perceive myself ","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","self"
"309","excluded"," “Being a healthy/fruit/vegetable eater is a central factor to my self-concept.”","jenkins2015motivating","JENKINS, Amy","Motivating Fruit and Vegetable Consumption Using Self-Identity","2015","self"
"6","feelAtALoss","“I would feel a loss if I were forced to give up SNSs;” ","NA","Ho, Shirley S. and Lwin, May O. and Lee, Edmund W. J.","Till logout do us part? Comparison of factors predicting excessive social network sites use and addiction between Singaporean adolescents and adults.","2017/10//","feelAtALoss"
"78","feelAtALoss"," I would feel at a loss if could not donate blood.","NA","Lu, Jia","Predicting blood donations among college students as a strategy to design voluntary blood donation campaigns in China.","2012///","feelAtALoss"
"115","feelAtALoss"," ‘I would feel upset if I was not able to breastfeed’ ","NA","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008/10//","feelAtALoss"
"130","feelAtALoss","“I would feel lost without using my mobile phone”","NA","Walsh, Shari P. and White, Katherine M.","Me, my mobile, and I: The role of self- and prototypical identity influences in the prediction of mobile phone behavior.","2007/10//","feelAtALoss"
"140","feelAtALoss"," ‘‘I would feel that I missed out on something if I didn’t smoke’’","NA","Moan, Inger Synnøve and Rise, Jostein","Predicting smoking reduction among adolescents using an extended version of the theory of planned behaviour.","2006/12//","feelAtALoss"
"149","feelAtALoss","""I would feel that I lost something, if I could not participate in physical activities for at least 3 times a week in the next 3 mo.,"" ","NA","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: An application of the theory of planned behavior.","2005/12//","feelAtALoss"
"152","feelAtALoss","'I would feel that I would lose something, if I could not eat healthily for the next three months' ","NA","Tsorbatzoudis, Haralambos","Evaluation of a planned behavior theory-based intervention programme to promote healthy eating.","2005/10//","feelAtALoss"
"180","feelAtALoss"," `I would feel at a loss if were forced to give up household recycling ’","NA","Terry, Deborah J. and Hogg, Michael A. and White, Katherine M.","The theory of planned behaviour: Self-identity, social identity and group norms.","1999/09//","feelAtALoss"
"182","feelAtALoss"," “I would feel a loss if I were forced to give up drinking alcohol” ","NA","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999/08//","feelAtALoss"
"192","feelAtALoss"," ` I would feel at a loss if I were forced to give up using cannabis/marijuana’ ","NA","Conner, Mark and McMillan, Brian","Interaction effects in the theory of planned behavior: Studying cannabis use.","1999/06//","feelAtALoss"
"217","feelAtALoss","""I would feel a loss, if I gave up exercising during the next two months"" ","NA","Theodorakis, Yannis","Planned behavior, attitude strength, role identity, and the prediction of exercise behavior.","1994/06//","feelAtALoss"
"225","feelAtALoss"," I would feel a loss if I were forced to give up donating blood. ","NA","Charng, Hong-wen and Piliavin, Jane A. and Callero, Peter L.","Role identity and reasoned action in the prediction of repeated behavior.","1988/12//","feelAtALoss"
"240","feelAtALoss"," I would feel a loss if I were forced to give up my dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","feelAtALoss"
"255","feelAtALoss","‘‘I would feel at a loss if I were forced to give up my volunteering’’ ","veludo2013accounting","Veludo-de-Oliveira, Tania and Pallister, John G and Foxall, Gordon R","Accounting for sustained volunteering by young people: An expanded TPB","2013","feelAtALoss"
"330","feelAtALoss"," “I would feel a loss if I were forced to give up donatingblood”","wevers2014return","Wevers, Anne and Wigboldus, Dani{\""e}l HJ and van Baaren, Rick and Veldhuizen, Ingrid JT","Return behavior of occasional and multigallon blood donors: the role of theory of planned behavior, self-identity, and organizational variables","2014","feelAtALoss"
"336","feelAtALoss"," “I would feel at a loss if I were forced to give up exercising vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to investigate the antecedents of physical activity participation among Saudi adolescents","2010","feelAtALoss"
"16","iAm","‘‘I am the sort of passenger who rides safely and carefully at every opportunity” ","NA","Wan, Xin and Schonfeld, Paul M. and Li, Qiming","What factors determine metro passengers’ risky riding behavior? An approach based on an extended theory of planned behavior.","2016/10//","iAm"
"38","iAm"," “I am typical of the sort of person who would<U+2009>…” [walking for exercise when the opportunity arises during my next long-haul flight”/“doing seated exercise when the opportunity arises during my next long-haul flight”]","NA","Leyland, Sandra D. and van Wersch, Anna and Woodhouse, David","Testing an extended theory of planned behaviour to predict intention to participate in health-related exercise during long-distance flight travel.","2014/01//","iAm"
"55","iAm","“I am the sort of rider who rides safely at every opportunity” ","NA","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012/11//","iAm"
"57","iAm"," “I am the sort of rider who takes risks at every opportunity” ","NA","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012/11//","iAm"
"71","iAm"," ‘‘Engaging in sufficient exercise is something that fits who I am’’ ","NA","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012/07//","iAm"
"82","iAm"," ‘I am the type of the person who smokes’","NA","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011/09//","iAm"
"83","iAm","“Subsidised /non-subsidised nature conservation practices are part of who I am” ","NA","Lokhorst, Anne Marike and Staats, Henk and van Dijk, Jerry and van Dijk, Eric and de Snoo, Geert","What's in it for me? Motivational differences between farmers' subsidised and non-subsidised conservation practices.","2011/07//","iAm"
"135","iAm","""Generally, I am the type who is going to teach multicultural classes,""","NA","Tsigilis, Nikolaos and Tsioumis, Konstantinos and Gregoriadis, Athanasios","Applicability of the planned behavior theory to attitudes of students in early childhood education toward teaching cutltually diverse classes: The role of self-identity.","2007/06//","iAm"
"154","iAm"," 'Healthy eating is an expression of who I am'","NA","Tsorbatzoudis, Haralambos","Evaluation of a planned behavior theory-based intervention programme to promote healthy eating.","2005/10//","iAm"
"258","iAm"," I am very self-conscious about my health. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","iAm"
"259","iAm"," I am very involved with my health. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","iAm"
"281","iAm"," [Engaging in physical exercise is something that] fits who I am ","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","iAm"
"312","iAm"," “Donating blood is a part of who I am”","masser2009predicting","Masser, Barbara M and White, Katherine M and Hyde, Melissa K and Terry, Deborah J and Robinson, Natalie G","Predicting blood donation intentions and behavior among Australian blood donors: testing an extended theory of planned behavior model","2009","iAm"
"342","iAm"," I am proud to use microcredits","jebarajakirthy2014war","Jebarajakirthy, Charles and Lobo, Antonio C","War affected youth as consumers of microcredit: an application and extension of the theory of planned behaviour","2014","iAm"
"15","iAm","“I am a microblog user”","NA","Jiang, Caihong and Zhao, Wenguo and Sun, Xianghong and Zhang, Kan and Zheng, Rui and Qu, Weina","The effects of the self and social identity on the intention to microblog: An extension of the theory of planned behavior.","2016/11//","iAmA"
"136","iAm","[‘I think of myself as’:] a person who teaches dance’ ","NA","Chedzoy, S. M. and Burden, R. L.","What can psychology tell us about teaching dance? The potential contribution of Ajzen's Theory of Planned Behavior.","2007/04//","iAmA"
"216","iAm"," ""I am a person who must teach individuals with disabilities during the next years.""","NA","Theodorakis, Yannis and Bagiatis, Konstantinos and Goudas, Marios","Attitudes toward teaching individuals with disabilities: Application of planned behavior theory.","1995/04//","iAmA"
"296","iAm","‘I am a non-smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"297","iAm"," ‘I am an occasional smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"298","iAm"," ‘I am an irregular smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"299","iAm"," ‘I am a regular smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"300","iAm"," ‘I am an ex-smoker’","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
"323","iAm","[""I think of myself as a ] clear thinker ","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"324","iAm"," [""I think of myself as a ] deep thinker ","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"325","iAm"," [""I think of myself as a ] accurate thinker ","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"326","iAm","[""I think of myself as a ] broadminded thinker""","celuch2002promoting","Celuch, Kevin and Slama, Mark","Promoting critical thinking and life-long learning: An experiment with the theory of planned behavior","2002","iAmA"
"8","importantPart"," “SNSs are an important part of who I am.”","NA","Ho, Shirley S. and Lwin, May O. and Lee, Edmund W. J.","Till logout do us part? Comparison of factors predicting excessive social network sites use and addiction between Singaporean adolescents and adults.","2017/10//","importantPart"
"18","importantPart","‘‘To support fair trade is an important part of who I am’’. ","NA","Chatzidakis, Andreas and Kastanakis, Minas and Stathopoulou, Anastasia","Socio-cognitive determinants of consumers’ support for the fair trade movement.","2016/01//","importantPart"
"31","importantPart","To volunteer is an important part of my identity","NA","Marta, Elena and Manzi, Claudia and Pozzi, Maura and Vignoles, Vivian Laurance","Identity and the theory of planned behavior: Predicting maintenance of volunteering after three years.","2014/05//","importantPart"
"39","importantPart","Blood [organ] donation is an important part of who I am”","NA","Hyde, Melissa K. and Knowles, Simon R. and White, Katherine M.","Donating blood and organs: Using an extended theory of planned behavior perspective to identify similarities and differences in individual motivations to donate.","2013/12//","importantPart"
"45","importantPart","“Does driving faster than the speed limit on urban roads/country roads/fast dual carriageways or motorways form an important part of who you are as a person?” (1 = no, not at all to 9 = yes, very much so)","NA","Elliott, Mark A. and Thomson, James A. and Robertson, Kirsty and Stephenson, Carry and Wicks, John","Evidence that changes in social cognitions predict changes in self-reported driver behavior: Causal analyses of two-wave panel data.","2013/01//","importantPart"
"56","importantPart"," “Being a safe rider is an important part of who I am” ","NA","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012/11//","importantPart"
"58","importantPart"," “Being a rider who takes risks is an important part of who I am”","NA","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012/11//","importantPart"
"64","importantPart","“To engage in household recycling is an important part of who I am,” ","NA","White, Katherine M. and Hyde, Melissa K.","The role of self-perceptions in the prediction of household recycling behavior in Australia.","2012/11//","importantPart"
"66","importantPart","(...drink[ing] more than 8 units on one occasion...) ... is an important part of who I am ","NA","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012/09//","importantPart"
"76","importantPart","Donating blood is an important part of who I am. ","NA","Lu, Jia","Predicting blood donations among college students as a strategy to design voluntary blood donation campaigns in China.","2012///","importantPart"
"79","importantPart","‘Smoking is an important part of myself’ ","NA","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011/09//","importantPart"
"91","importantPart","“Does driving faster than the speed limit form an important part of who you are as a person?”","NA","Elliott, Mark A. and Thomson, James A.","The social cognitive determinants of offending drivers’ speeding behaviour.","2010/11//","importantPart"
"98","importantPart","‘‘Being a mobile phone user is an important part of who I am’","NA","Burger, Christoph and Riemer, Valentin and Grafeneder, Jürgen and Woisetschläger, Bianca and Vidovic, Dragana and Hergovich, Andreas","Reaching the mobile respondent: Determinants of high-level mobile phone use among a high-coverage group.","2010/08//","importantPart"
"99","importantPart","“Supporting the LGB community is an important part of who I am”","NA","Wilkinson, Wayne W. and Sagarin, Brad J.","Psychological antecedents of heterosexuals' pro-gay activism behavior.","2010/08//","importantPart"
"100","importantPart","‘To engage in householdrecycling is an important part of who I am’","NA","Nigbur, Dennis and Lyons, Evanthia and Uzzell, David","Attitudes, norms, identity and environmental behaviour: Using an expanded theory of planned behaviour to predict participation in a kerbside recycling programme.","2010/06//","importantPart"
"101","importantPart","‘Being an organ donor is an important part of who I am’","NA","Hyde, Melissa K. and White, Katherine M.","Are organ donation communication decisions reasoned or reactive? A test of the utility of an augmented theory of planned behaviour with the prototype/willingness model.","2010/05//","importantPart"
"102","importantPart","“Does riding faster than [30 mph/70 mph] on roads like this form an important part of who you are as a person?”","NA","Elliott, Mark A.","Predicting motorcyclists’ intentions to speed: Effects of selected cognitions from the theory of planned behaviour, self-identity and social identity.","2010/03//","importantPart"
"109","importantPart","“To be/continue to be an organ and/or tissue donor is an important part of who I am,”","NA","Hyde, Melissa K. and White, Katherine M.","To be a donor or not to be? Applying an extended theory of planned behavior to predict posthumous organ donation intentions.","2009/04//","importantPart"
"110","importantPart","‘‘Being the type of person who participates in parenting education is an important part of who I am’’","NA","White, Katherine M. and Wellington, Larne","Predicting participation in group parenting education in an Australian sample: The role of attitudes, norms, and control factors.","2009/03//","importantPart"
"112","importantPart"," ‘‘To engage in environmental activism is an important part of who I am’ ","NA","Fielding, Kelly S. and McDonald, Rachel and Louis, Winnifred R.","Theory of planned behaviour, identity and intentions to engage in environmental activism.","2008/12//","importantPart"
"114","importantPart","‘Breastfeeding would be an important part of who I am’ ","NA","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008/10//","importantPart"
"118","importantPart","‘To engage in health promoting behaviours is an important part of who I am’","NA","Mason, Tania E. and White, Katherine M.","Applying an extended model of the theory of planned behaviour to breast self-examination.","2008/10//","importantPart"
"126","importantPart","“To do physical activity is an important part of who I am,”","NA","Hamilton, Kyra and White, Katherine M.","Extending the theory of planned behavior: The role of self and social influences in predicting adolescent regular moderate-to- vigorous physical activity.","2008/02//","importantPart"
"129","importantPart","“Being a mobile phone user is an important part of who I am”","NA","Walsh, Shari P. and White, Katherine M.","Me, my mobile, and I: The role of self- and prototypical identity influences in the prediction of mobile phone behavior.","2007/10//","importantPart"
